old_path,new_path,asset_id,status
/wp-content/uploads/2025/03/Untitled-design-23.png,/images/gallery/talc-lumps-hand-sorting-03-480w.webp,A243,301
/wp-content/uploads/2025/03/Untitled-design-3-1.png,/images/mining-operations/underground-mine-inspection-01-card-4x3-1920w.webp,A087,301
/wp-content/uploads/2025/03/Untitled-design-4.png,/images/logistics/jumbo-bags-warehouse-storage-01-card-4x3-600w.webp,A260,301
/wp-content/uploads/2025/03/Untitled-design-5.png,/images/gallery/talc-lumps-hand-sorting-04-600w.webp,A262,301
/wp-content/uploads/2025/03/Untitled-design-6.png,/images/mining-operations/grinding-mill-talc-powder-bags-01-card-4x3-740w.webp,A297,301
/wp-content/uploads/2025/03/Untitled-design-7.png,/images/mining-operations/skz-mining-mesh-plant-signage-peshawar-01-card-4x3-755w.webp,A298,301
/wp-content/uploads/2025/03/Untitled-design-8.png,/images/logistics/talc-lumps-stockyard-truck-loading-01-card-4x3-745w.webp,A294,301
/wp-content/uploads/2025/03/Untitled-design-9.png,/images/gallery/mine-site-02-480w.webp,A253,301
/wp-content/uploads/2025/03/Untitled-design1.jpeg,/images/about/manager-stockyard-01-portrait-4x5-960w.webp,A117,301
/wp-content/uploads/2025/03/WhatsApp-Image-2025-03-20-at-21.48.24_931e2f80-e1742978517899.jpg,/images/gallery/jumbo-bags-container-loading-05-896w.webp,A256,301
/wp-content/uploads/2025/03/admin-ajax-1-e1742453771785.png,/images/logistics/jumbo-bags-warehouse-storage-01-card-4x3-600w.webp,A260,301
/wp-content/uploads/2025/03/admin-ajax.png,/images/gallery/talc-lumps-hand-sorting-04-600w.webp,A262,301
/wp-content/uploads/2025/03/four-color.png,/images/talc/talc-lumps-colour-grades-01-886w.webp,A270,301
/wp-content/uploads/2025/03/lab-1.png,/images/quality/quality-testing-laboratory-03-card-4x3-600w.webp,A272,301
/wp-content/uploads/2025/03/lab-2.png,/images/quality/quality-control-laboratory-01-card-4x3-597w.webp,A273,301
/wp-content/uploads/2025/03/persons.png,/images/about/japanese-technical-experts-site-visit-02-card-4x3-915w.webp,A280,301
/wp-content/uploads/2025/03/skz-jkl.png,/images/affiliation/skz-mining-company-structure-chart-01-1024w.webp,A292,301
/wp-content/uploads/2025/03/skz-p-2.png,/images/logistics/talc-lumps-stockyard-truck-loading-01-card-4x3-745w.webp,A294,301
/wp-content/uploads/2025/03/skz-pd-1.png,/images/talc/talc-lumps-close-up-08-card-1x1-395w.webp,A295,301
/wp-content/uploads/2025/03/skz-po-e1742977327332.png,/images/gallery/mine-site-03-731w.webp,A296,301
/wp-content/uploads/2025/03/skz-ss-po-1-e1742453421882.png,/images/mining-operations/grinding-mill-talc-powder-bags-01-card-4x3-740w.webp,A297,301
/wp-content/uploads/2025/03/skz-ss-po-2.png,/images/mining-operations/skz-mining-mesh-plant-signage-peshawar-01-card-4x3-755w.webp,A298,301
/wp-content/uploads/2025/03/supply-chain-1-removebg-preview.png,/images/affiliation/talc-supply-chain-diagram-01-623w.webp,A305,301
/wp-content/uploads/2025/03/supply-chain-2-removebg-preview.png,/images/affiliation/talc-supply-chain-diagram-02-403w.webp,A306,301
/wp-content/uploads/2025/03/tyes-talc.png,/images/talc/talc-origins-diagram-01-582w.webp,A317,301
/wp-content/uploads/2025/04/Aamir-Gulzar-Peshawar-Manager.jpg,/images/about/skz-mining-office-peshawar-manager-01-card-4x3-1280w.webp,A074,301
/wp-content/uploads/2025/04/Amin-ullah-baig.jpg,/images/about/director-rock-face-inspection-01-card-4x3-768w.webp,A076,301
/wp-content/uploads/2025/04/Imtaiz-Ahmed.jpg,/images/quality/quality-testing-laboratory-01-portrait-4x5-1200w.webp,A114,301
/wp-content/uploads/2025/04/Mohammed-Hussain.jpg,/images/about/manager-stockyard-01-portrait-4x5-960w.webp,A117,301
/wp-content/uploads/2025/05/1.-Upper-Dar-mine-Lower-Dar-south-Mine.jpg,/images/home/open-pit-mine-excavator-01-desktop-21x9-1920w.webp,A001,301
/wp-content/uploads/2025/05/P3030180.jpg,/images/mining-operations/underground-mine-02-card-4x3-1707w.webp,A118,301
/wp-content/uploads/2025/05/P3030185.jpg,/images/gallery/underground-mine-03-1440w.webp,A119,301
/wp-content/uploads/2025/05/P3030213.jpg,/images/home/underground-mine-chamber-01-banner-16x9-1920w.webp,A120,301
/wp-content/uploads/2025/05/SKZ-Mining-13.jpg,/images/mining-operations/talc-mine-site-scree-01-card-4x3-1920w.webp,A082,301
/wp-content/uploads/2025/05/SKZ-Mining-14.jpg,/images/mining-operations/geological-survey-rock-face-kurram-01-card-4x3-1920w.webp,A083,301
/wp-content/uploads/2025/05/SKZ-Mining-15.jpg,/images/home/mine-adit-entrance-01-banner-16x9-1920w.webp,A085,301
/wp-content/uploads/2025/05/SKZ-Mining-17.jpg,/images/mining-operations/underground-mine-survey-01-card-4x3-1440w.webp,A137,301
/wp-content/uploads/2025/05/SKZ-Mining-18.jpg,/images/gallery/underground-mine-inspection-02-1440w.webp,A138,301
/wp-content/uploads/2025/05/SKZ-Mining-19.jpg,/images/mining-operations/field-exploration-team-01-card-4x3-1440w.webp,A139,301
/wp-content/uploads/2025/05/SKZ-Mining-20.jpg,/images/gallery/talc-lumps-close-up-07-1440w.webp,A141,301
/wp-content/uploads/2025/05/SKZ-Mining-21.jpg,/images/mining-operations/geologist-field-survey-kurram-01-card-4x3-1440w.webp,A142,301
/wp-content/uploads/2025/05/SKZ-Mining-22.jpg,/images/mining-operations/underground-mine-01-banner-16x9-1920w.webp,A089,301
